Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Oman,OMN,29333594829.5491,45372727044.5609,78710793237.9714,82682873555.7961,82934277088.5646,84001727416.2074,83053651985.4157,80246670660.8581,82318780120.4001,90202537058.2429,91384587286.8628,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Pakistan,PAK,110450553630.166,162552194688.572,299963590534.773,319682711890.74,333853050597.697,354390697428.203,363242090361.647,358614068499.253,381973779235.3,400224894618.857,400066035261.282,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Palau,PLW,213364899.128707,232062084.916123,278824781.25,277597952.2125,268548258.970373,268843662.05524,269381349.37935,253220015.052904,218291129.848716,215413072.557436,219456526.283737,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Panama,PAN,13096161185.8644,20639538981.1271,55767806100,58317491835.7804,61667283244.4831,64083529548.7943,66072084974.6328,54297226765.6596,63238418924.7981,70048985344.8611,75232121007.6293,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Papua New Guinea,PNG,7373337464.29462,11016425270.6953,21723437010.0982,22915960976.066,23725951011.6612,23659695751.3327,24719771866.935,23936789892.3901,23814388292.8563,25173614536.9108,25937811150.4123,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Paraguay,PRY,16384218445.3751,20783433276.2554,36211447840.0971,37756961788.4686,39573101423.9502,40841122661.179,40677000526.59,40343536418.7875,41964030301.4424,42037903094.7486,44019622007.0359,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Peru,PER,59592279647.2189,87409379264.7108,189802976285.619,197306492869.139,202276318741.548,210305376512.78,215017545590.315,191509018299.917,217085487224.893,223002152647.317,221775234260.737,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Philippines,PHL,107109108274.656,142796015298.758,306445871246.718,328355086282.447,351113338977.942,373379140707.047,396224439244.72,358510629282.922,378998555004.406,407730367724.121,430342487096.573,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Poland,POL,194797367584.792,283174187558.032,480054118583.367,494605411858.337,520089746650.75,552573816155.989,577884228677.544,566120997479.772,605337233054.782,637150470884.733,638035044435.602,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Portugal,PRT,145687643482.991,193677420074.374,199038523119.639,203027535953.584,209757331881.699,215937375267.637,221866334776.915,203663018337.793,214984151691.324,230002604720.83,235813117071.956,..
