Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,12045660,20130327,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761,..
"Population, total",SP.POP.TOTL,Albania,ALB,3286542,3089027,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689,2745972,..
"Population, total",SP.POP.TOTL,Algeria,DZA,25375810,30903893,40019529,40850721,41689299,42505035,43294546,44042091,44761099,45477389,46164219,..
"Population, total",SP.POP.TOTL,American Samoa,ASM,46640,56855,52878,52245,51586,50908,50209,49761,49225,48342,47521,..
"Population, total",SP.POP.TOTL,Andorra,AND,52597,65685,72174,72181,73763,75162,76474,77380,78364,79705,80856,..
"Population, total",SP.POP.TOTL,Angola,AGO,11626360,16194869,28157798,29183070,30234839,31297155,32375632,33451132,34532429,35635029,36749906,..
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,63066,74912,89409,89969,90468,90926,91364,91846,92349,92840,93316,..
"Population, total",SP.POP.TOTL,Argentina,ARG,32755901,37213984,43477012,43900313,44288894,44654882,44973465,45191965,45312281,45407904,45538401,..
"Population, total",SP.POP.TOTL,Armenia,ARM,3552128,3221100,3004600,2992300,2979400,2969000,2962500,2961500,2962300,2969200,2990900,..
"Population, total",SP.POP.TOTL,Aruba,ABW,62753,90588,107906,108727,108735,108908,109203,108587,107700,107310,107359,..
"Population, total",SP.POP.TOTL,Australia,AUS,17065128,19028802,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26014399,26658948,..
"Population, total",SP.POP.TOTL,Austria,AUT,7677850,8011566,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851,9131761,..
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,7175200,8048600,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10141756,10153958,..
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,275945,323835,385346,388055,390485,392717,394675,395863,396373,397538,399440,..
"Population, total",SP.POP.TOTL,Bahrain,BHR,514797,637582,1370322,1423726,1501116,1503091,1483756,1472204,1504365,1524693,1577059,..
"Population, total",SP.POP.TOTL,Bangladesh,BGD,111633717,134544304,159383179,160811932,162186147,163523103,164913055,166298024,167658854,169384897,171466990,..
"Population, total",SP.POP.TOTL,Barbados,BRB,258582,262063,278990,279598,280171,280711,281207,281698,282147,282318,282336,..
"Population, total",SP.POP.TOTL,Belarus,BLR,10189348,9979610,9461076,9469379,9458989,9438785,9419758,9379952,9302585,9228071,9178298,..
"Population, total",SP.POP.TOTL,Belgium,BEL,9967379,10251250,11274196,11331422,11375158,11427054,11488980,11538604,11586195,11680210,11787423,..
"Population, total",SP.POP.TOTL,Belize,BLZ,183076,240799,356333,364705,373202,380226,385829,390812,395346,402733,411106,..
"Population, total",SP.POP.TOTL,Benin,BEN,5281479,7221619,11360681,11697842,12039780,12383347,12726755,13070169,13413417,13759501,14111034,..
"Population, total",SP.POP.TOTL,Bermuda,BMU,57559,61550,63464,63449,63578,63831,64107,64382,64648,64749,64698,..
"Population, total",SP.POP.TOTL,Bhutan,BTN,589287,596863,740618,747866,754335,759759,764824,770006,775442,780914,786385,..
"Population, total",SP.POP.TOTL,Bolivia,BOL,7130142,8606326,11014705,11180020,11344587,11508368,11671386,11816299,11937360,12077154,12244159,..
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,4448652,4159771,3518541,3473003,3428682,3387000,3345533,3299349,3244907,3204802,3185073,..
