Entity,Code,Year,Renewables (% equivalent primary energy)
Belgium,BEL,2000,0.43326905
Belgium,BEL,2001,0.4492053
Belgium,BEL,2002,0.47973493
Belgium,BEL,2003,0.4867145
Belgium,BEL,2004,0.6062981
Belgium,BEL,2005,0.86668056
Belgium,BEL,2006,1.2095444
Belgium,BEL,2007,1.415251
Belgium,BEL,2008,1.7643937
Belgium,BEL,2009,2.5553334
Belgium,BEL,2010,3.1909645
Belgium,BEL,2011,4.0781
Belgium,BEL,2012,5.147705
Belgium,BEL,2013,5.4598446
Belgium,BEL,2014,6.152073
Belgium,BEL,2015,6.797978
Belgium,BEL,2016,6.483068
Belgium,BEL,2017,7.061145
Belgium,BEL,2018,7.5382905
Belgium,BEL,2019,8.078669
Belgium,BEL,2020,10.863384
Belgium,BEL,2021,9.544263
Belgium,BEL,2022,10.829779
Belgium,BEL,2023,12.525128
Brazil,BRA,1965,27.548723
Brazil,BRA,1966,27.618216
Brazil,BRA,1967,27.880291
Brazil,BRA,1968,25.555756
Brazil,BRA,1969,25.056217
Brazil,BRA,1970,27.117094
Brazil,BRA,1971,26.374422
Brazil,BRA,1972,27.116016
Brazil,BRA,1973,26.06735
Brazil,BRA,1974,26.414951
Brazil,BRA,1975,27.490091
Brazil,BRA,1976,28.66696
Brazil,BRA,1977,30.686192
Brazil,BRA,1978,30.96372
Brazil,BRA,1979,32.517193
Brazil,BRA,1980,35.243515
Brazil,BRA,1981,36.3235
Brazil,BRA,1982,37.79666
Brazil,BRA,1983,41.028515
Brazil,BRA,1984,42.65514
Brazil,BRA,1985,43.111156
Brazil,BRA,1986,42.78733
Brazil,BRA,1987,42.403927
Brazil,BRA,1988,43.9331
Brazil,BRA,1989,44.166645
Brazil,BRA,1990,44.531143
Brazil,BRA,1991,45.268887
Brazil,BRA,1992,45.73639
Brazil,BRA,1993,45.985287
Brazil,BRA,1994,45.495502
Brazil,BRA,1995,44.73329
Brazil,BRA,1996,44.30005
Brazil,BRA,1997,43.421165
Brazil,BRA,1998,43.594486
Brazil,BRA,1999,43.4361
Brazil,BRA,2000,42.44325
Brazil,BRA,2001,38.569214
Brazil,BRA,2002,40.180744
Brazil,BRA,2003,41.648914
Brazil,BRA,2004,41.63599
Brazil,BRA,2005,42.51229
Brazil,BRA,2006,42.397827
Brazil,BRA,2007,43.479137
Brazil,BRA,2008,42.631985
Brazil,BRA,2009,45.54154
Brazil,BRA,2010,43.85847
Brazil,BRA,2011,43.934616
Brazil,BRA,2012,41.700214
Brazil,BRA,2013,39.92749
Brazil,BRA,2014,38.842846
Brazil,BRA,2015,40.033836
Brazil,BRA,2016,42.97847
Brazil,BRA,2017,42.650604
Brazil,BRA,2018,45.42812
Brazil,BRA,2019,46.80826
Brazil,BRA,2020,48.693333
Brazil,BRA,2021,44.91405
Brazil,BRA,2022,48.83283
Brazil,BRA,2023,50.331406
Bulgaria,BGR,1965,4.9313707
Bulgaria,BGR,1966,4.622976
Bulgaria,BGR,1967,4.0036206
Bulgaria,BGR,1968,2.311565
Bulgaria,BGR,1969,2.92254
Bulgaria,BGR,1970,3.0394955
Bulgaria,BGR,1971,2.9434655
Bulgaria,BGR,1972,2.761653
Bulgaria,BGR,1973,3.2605422
Bulgaria,BGR,1974,2.5623977
Bulgaria,BGR,1975,2.7339408
Bulgaria,BGR,1976,3.108479
Bulgaria,BGR,1977,3.5239038
Bulgaria,BGR,1978,2.805369
Bulgaria,BGR,1979,3.0763476
Bulgaria,BGR,1980,3.2677271
Bulgaria,BGR,1981,3.2318058
Bulgaria,BGR,1982,2.6594312
Bulgaria,BGR,1983,2.9039197
Bulgaria,BGR,1984,2.8398352
Bulgaria,BGR,1985,1.9635512
Bulgaria,BGR,1986,2.0015333
Bulgaria,BGR,1987,2.166329
Bulgaria,BGR,1988,2.1662037
Bulgaria,BGR,1989,2.2651663
Bulgaria,BGR,1990,1.4857494
Bulgaria,BGR,1991,2.5538871
Bulgaria,BGR,1992,2.2773597
Bulgaria,BGR,1993,2.0045958
Bulgaria,BGR,1994,1.5115008
Bulgaria,BGR,1995,2.3577003
Bulgaria,BGR,1996,3.1407087
Bulgaria,BGR,1997,3.132415
Bulgaria,BGR,1998,3.669025
Bulgaria,BGR,1999,3.718413
Bulgaria,BGR,2000,3.578958
Bulgaria,BGR,2001,2.159837
Bulgaria,BGR,2002,2.835246
Bulgaria,BGR,2003,3.8543477
Bulgaria,BGR,2004,4.1520042
Bulgaria,BGR,2005,5.21779
Bulgaria,BGR,2006,5.003992
Bulgaria,BGR,2007,3.4964988
Bulgaria,BGR,2008,3.5879993
Bulgaria,BGR,2009,5.116167
Bulgaria,BGR,2010,7.658174
Bulgaria,BGR,2011,4.874571
Bulgaria,BGR,2012,7.207177
Bulgaria,BGR,2013,10.177439
Bulgaria,BGR,2014,10.104899
Bulgaria,BGR,2015,11.299108
Bulgaria,BGR,2016,9.809314
Bulgaria,BGR,2017,8.443124
Bulgaria,BGR,2018,12.588993
Bulgaria,BGR,2019,10.773653
Bulgaria,BGR,2020,11.53778
Bulgaria,BGR,2021,13.715242
Bulgaria,BGR,2022,12.466471
Bulgaria,BGR,2023,15.011162
CIS (EI),,1965,3.4813333
CIS (EI),,1966,3.6910226
CIS (EI),,1967,3.3877103
CIS (EI),,1968,3.8358662
CIS (EI),,1969,4.0588303
CIS (EI),,1970,4.1746306
CIS (EI),,1971,4.0343986
CIS (EI),,1972,3.7416914
CIS (EI),,1973,3.5433114
CIS (EI),,1974,3.623434
CIS (EI),,1975,3.294978
CIS (EI),,1976,3.4166837
CIS (EI),,1977,3.5416844
CIS (EI),,1978,3.918541
CIS (EI),,1979,3.8662982
CIS (EI),,1980,4.0433974
CIS (EI),,1981,4.0194345
CIS (EI),,1982,3.6683855
CIS (EI),,1983,3.709566
CIS (EI),,1984,4.022881
CIS (EI),,1985,4.789064
CIS (EI),,1986,4.7097397
